Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 2303283, 916.5202772032384, 13h34m29.695s, +47d43m36.54s, 19052.233543198552, 0.062991
LEDA 3096267, 887.8438282986665, 13h34m29.998s, +47d33m00.25s, 18456.119725196957, 0.061
LEDA 2279104, 680.7157812704079, 13h34m33.584s, +46d19m05.51s, 14150.430016540447, 0.04662
LEDA 2292593, 2667.626981945821, 13h34m41.210s, +47d06m52.50s, 55453.494625628904, 0.184404
LEDA 2301872, 893.260824666846, 13h34m57.386s, +47d38m50.64s, 18568.725940767163, 0.061378
LEDA 3096272, 887.8055818538298, 13h35m17.480s, +47d37m02.03s, 18455.32467437555, 0.061
LEDA 2294884, 2310.5791574125947, 13h35m30.600s, +47d14m43.38s, 48031.33637305209, 0.15965
LEDA 2308010, 2784.650440083633, 13h35m39.094s, +47d58m30.07s, 57886.128479925945, 0.192533
LEDA 2296637, 892.4924718987132, 13h35m43.460s, +47d20m57.30s, 18552.75375035726, 0.061322
LEDA 2297850, 899.052637226928, 13h35m45.912s, +47d25m12.54s, 18689.123675850384, 0.061778
LEDA 2298090, 938.1757212040847, 13h35m46.311s, +47d26m00.93s, 19502.397698698507, 0.064491
LEDA 2298462, 878.9815294695418, 13h35m53.253s, +47d27m08.24s, 18271.89402804453, 0.060387
LEDA 2314443, 2449.6341555390436, 13h36m15.315s, +48d17m48.63s, 50921.95250621447, 0.169309
LEDA 2312093, 1362.5201229212348, 13h36m45.217s, +48d10m54.64s, 28323.488563086692, 0.093928
LEDA 33583, 1108.4086868283546, 11h06m28.179s, +54d16m18.47s, 23041.128153982998, 0.076262
LEDA 2484769, 528.2033374053792, 11h07m08.662s, +54d55m32.79s, 10980.066227506517, 0.036043
LEDA 2472523, 788.5214642553365, 11h07m12.861s, +54d32m07.24s, 16391.448683121922, 0.054086
LEDA 33676, 788.0199453814573, 11h07m25.015s, +54d31m27.08s, 16381.023322167963, 0.054051
LEDA 2456551, 880.7393602445002, 11h07m27.718s, +53d59m16.75s, 18308.43506623752, 0.06047
LEDA 2452381, 1103.9404333853952, 11h07m29.261s, +53d50m34.92s, 22948.244002652234, 0.075944
LEDA 2502231, 1039.4988026683238, 11h07m46.310s, +55d26m33.40s, 21608.658803214308, 0.071506
LEDA 2492115, 877.552383006554, 11h07m52.170s, +55d08m49.70s, 18242.185539473645, 0.060271
LEDA 213787, 1115.5148452563353, 11h07m55.168s, +53d48m51.33s, 23188.847951714037, 0.076746
LEDA 2498969, 717.1701950800767, 11h08m02.666s, +55d21m02.93s, 14908.228859465771, 0.049154
LEDA 33726, 67.73031064287517, 11h08m03.017s, +53d36m57.60s, 1407.9488784024961, 0.004089
LEDA 2517636, 725.8648491081187, 11h08m16.376s, +55d52m44.14s, 15088.969627826138, 0.049767
LEDA 2519697, 730.8675776682285, 11h08m16.586s, +55d56m12.30s, 15192.96422047311, 0.050115
LEDA 33736, 313.3190037109138, 11h08m17.601s, +53d49m27.15s, 6513.142131932236, 0.021122
LEDA 2501220, 924.0610448554106, 11h08m19.311s, +55d24m53.72s, 19208.987812555893, 0.063501
LEDA 2815947, 704.7562612555785, 11h08m19.539s, +55d42m19.82s, 14650.173285249923, 0.0483
LEDA 2473251, 1110.8842794794632, 11h08m20.849s, +54d33m35.44s, 23092.589720649772, 0.076439
LEDA 2507700, 1238.6065865308556, 11h08m30.191s, +55d35m43.48s, 25747.626693803002, 0.085315
LEDA 2531124, 711.5527440199347, 11h08m45.574s, +56d15m52.04s, 14791.455677052503, 0.048782
LEDA 2509749, 1235.489842745975, 11h08m47.727s, +55d39m15.21s, 25682.83715017713, 0.0851
LEDA 2478713, 884.9341656880024, 11h08m49.636s, +54d44m15.25s, 18395.63489690767, 0.060775
LEDA 2506574, 1245.9707035887404, 11h09m02.009s, +55d33m50.03s, 25900.70882577111, 0.085825
LEDA 2462471, 1167.2295055624359, 11h09m09.382s, +54d11m38.24s, 24263.87030557356, 0.080339
LEDA 33805, 716.8155787434547, 11h09m14.965s, +55d26m12.13s, 14900.857245949295, 0.049131
LEDA 2518668, 918.2144557908111, 11h09m24.990s, +55d54m26.86s, 19087.451406804168, 0.063105
LEDA 2467455, 1187.6184782200366, 11h09m32.964s, +54d21m55.20s, 24687.707593673582, 0.081756
LEDA 2452507, 313.688628350566, 11h09m40.083s, +53d50m48.95s, 6520.825731666071, 0.021148
LEDA 2538680, 2194.6462333162535, 11h09m55.871s, +56d29m52.92s, 45621.37207638699, 0.151624
LEDA 2491147, 848.2425420828615, 11h10m11.984s, +55d07m03.12s, 17632.90503768682, 0.058238
LEDA 2542964, 2210.876166230183, 11h10m14.713s, +56d38m01.85s, 45958.75301596664, 0.152752
LEDA 2492355, 851.506360946882, 11h10m16.175s, +55d09m13.02s, 17700.75191547742, 0.058465
LEDA 2462316, 367.1148863485376, 11h10m22.64s, +54d11m18.0s, 7631.428050059534, 0.024859
LEDA 2509962, 1122.2351926008555, 11h10m24.032s, +55d39m37.03s, 23328.54767280468, 0.077247
LEDA 2470917, 992.7787755488721, 11h10m25.271s, +54d28m50.37s, 20637.462758822832, 0.068248
LEDA 2461788, 2061.5127876874303, 11h10m25.729s, +54d10m10.62s, 42853.85065692515, 0.142348
LEDA 33914, 841.3779240952953, 11h10m30.346s, +55d10m11.44s, 17490.206279855684, 0.057763
LEDA 2470157, 528.233472713131, 11h10m34.138s, +54d27m19.46s, 10980.692667461492, 0.036036
LEDA 2505260, 808.5134045911228, 11h10m36.255s, +55d31m35.71s, 16807.032632253286, 0.055491
LEDA 2462452, 2040.0613027677705, 11h10m37.327s, +54d11m35.77s, 42407.926316020326, 0.140861
LEDA 2506141, 801.7137917561226, 11h10m39.149s, +55d33m06.88s, 16665.685173874, 0.05502
LEDA 2492506, 846.8038334053628, 11h10m39.835s, +55d09m28.30s, 17602.9977738694, 0.058139
LEDA 2532518, 1319.9650752939383, 11h10m41.170s, +56d18m24.55s, 27438.87234017971, 0.09097
LEDA 2493781, 845.1639296894875, 11h10m57.570s, +55d11m43.19s, 17568.908153202683, 0.058026
LEDA 2492212, 846.3158666460658, 11h11m01.469s, +55d08m58.39s, 17592.854128506955, 0.058105
LEDA 2496392, 845.6905732285069, 11h11m06.168s, +55d16m22.87s, 17579.855795005034, 0.058064
