RA	DEC	NAME	DIAMETER
168.090000	54.493333	LEDA 2471269 , 869 Mly	0.53
168.091250	54.027222	LEDA 34081 , 578 Mly	0.96
168.110833	54.505000	LEDA 2471597 , 3114 Mly	0.51
168.117500	53.524722	LEDA 139543 , 675 Mly	0.51
168.122500	54.916667	LEDA 2484482 , 1005 Mly	0.56
168.127917	53.707500	LEDA 2448587 , 1542 Mly	0.40
168.135833	55.509722	LEDA 2504689 , 1125 Mly	0.58
168.139583	56.125833	LEDA 2526403 , 1322 Mly	0.44
168.149167	54.513889	LEDA 2471865 , 1364 Mly	0.73
168.181250	54.459722	LEDA 2470300 , 1363 Mly	0.61
168.187500	55.409167	LEDA 2500995 , 873 Mly	0.50
168.196250	56.685278	LEDA 2544485 , 695 Mly	0.49
168.200000	54.731667	LEDA 2478521 , 1087 Mly	0.33
168.210417	55.005000	LEDA 2487391 , 1020 Mly	0.47
168.214167	56.245000	LEDA 34117 , 730 Mly	0.52
168.223333	53.830556	LEDA 2452027 , 3118 Mly	0.40
168.230417	55.491111	LEDA 2503997 , 726 Mly	0.55
168.235833	55.683056	LEDA 34128 , 800 Mly	0.73
168.251667	54.750556	LEDA 2479134 , 1011 Mly	0.40
168.253333	55.977778	LEDA 2521154 , 962 Mly	0.77
168.260417	55.260278	LEDA 2496000 , 1971 Mly	0.86
168.265000	54.060000	LEDA 2458569 , 2680 Mly	0.40
168.269167	54.817222	LEDA 2481299 , 1031 Mly	0.44
168.274167	55.808333	LEDA 34136 , 408 Mly	0.50
168.285417	56.448056	LEDA 2537078 , 505 Mly	1.09
168.292917	53.582500	LEDA 2445118 , 1530 Mly	0.33
168.299583	54.378333	LEDA 2467871 , 2026 Mly	0.58
168.305417	55.555833	LEDA 34144 , 719 Mly	0.87
168.319167	54.691389	LEDA 2477242 , 1530 Mly	0.73
168.330833	56.478056	LEDA 34163 , 498 Mly	0.96
168.339583	55.572778	LEDA 2506900 , 847 Mly	0.64
168.346250	54.733056	LEDA 2478573 , 1350 Mly	0.33
168.357500	53.595000	LEDA 34170 , 53 Mly	3.80
168.370000	54.843611	LEDA 2482169 , 2008 Mly	0.51
168.391250	54.115278	LEDA 2460194 , 827 Mly	0.42
168.410000	55.410833	LEDA 34197 , 540 Mly	0.50
168.418333	55.576944	LEDA 2507057 , 4291 Mly	0.33
168.427500	56.021389	LEDA 2522727 , 742 Mly	0.49
168.431667	53.646944	LEDA 2446875 , 53 Mly	0.95
168.444167	55.721389	LEDA 2512111 , 406 Mly	0.72
168.457917	55.060556	LEDA 2489233 , 1028 Mly	0.63
168.467083	55.475556	LEDA 2503455 , 1298 Mly	0.55
168.472917	55.313056	LEDA 2497738 , 1246 Mly	0.70
168.474167	54.712778	LEDA 2477924 , 1067 Mly	0.64
168.505417	56.391389	LEDA 2535244 , 1743 Mly	0.45
168.515000	54.382778	LEDA 2467989 , 1687 Mly	0.49
168.525833	53.658333	LEDA 2447205 , 1302 Mly	0.57
168.526250	55.710833	LEDA 34213 , 411 Mly	1.20
168.552083	54.066667	LEDA 34221 , 1540 Mly	0.45
168.560417	55.661389	LEDA 2510016 , 1244 Mly	0.33
168.561667	54.379167	LEDA 2467894 , 776 Mly	0.58
168.565000	53.505833	LEDA 2442966 , 1015 Mly	0.56
168.580417	54.761111	LEDA 2479466 , 2105 Mly	0.47
168.625833	56.587500	LEDA 2541486 , 1075 Mly	0.49
168.642083	54.604722	LEDA 2474551 , 965 Mly	0.35
168.643333	55.731111	LEDA 2512441 , 1334 Mly	0.46
168.649167	56.363611	LEDA 2534373 , 1741 Mly	0.91
168.650417	53.670000	LEDA 2447554 , 1573 Mly	0.62
168.651250	55.442778	LEDA 2502249 , 1283 Mly	0.57
168.651667	54.760000	LEDA 2479429 , 1059 Mly	0.68
168.654583	54.484167	LEDA 2471016 , 993 Mly	0.42
168.667083	55.102500	LEDA 2490640 , 860 Mly	0.33
168.668750	54.105833	LEDA 2459912 , 716 Mly	0.33
168.674583	55.921111	LEDA 2519146 , 748 Mly	0.47
168.693750	54.376667	LEDA 2467802 , 967 Mly	0.62
168.694583	55.092778	LEDA 2490291 , 789 Mly	0.74
168.698333	55.273333	LEDA 2496406 , 1057 Mly	0.61
168.701667	56.578333	LEDA 34268 , 503 Mly	0.95
168.702500	55.826389	LEDA 2515655 , 714 Mly	1.66
168.709167	53.902778	LEDA 2454148 , 2186 Mly	0.33
168.719167	53.900556	LEDA 2454084 , 1510 Mly	0.62
168.728333	54.386667	LEDA 2468109 , 965 Mly	0.71
168.735000	54.658611	LEDA 2476173 , 869 Mly	0.36
168.736250	54.294444	LEDA 2465346 , 1029 Mly	0.44
168.737083	54.477222	LEDA 2470809 , 976 Mly	0.39
168.742083	54.491389	LEDA 2471204 , 998 Mly	0.39
168.743333	54.961111	LEDA 34279 , 498 Mly	0.80
168.747083	56.263611	LEDA 2531102 , 734 Mly	0.52
168.749167	54.455556	LEDA 2470166 , 632 Mly	1.30
168.762917	54.482778	LEDA 2470970 , 974 Mly	0.54
168.777083	55.660000	LEDA 2509963 , 845 Mly	0.59
168.781250	55.742500	LEDA 2512840 , 2524 Mly	0.47
168.782500	55.217500	LEDA 2494570 , 1036 Mly	0.47
168.785417	53.665000	LEDA 34293 , 1531 Mly	0.33
168.797083	56.435833	LEDA 2536712 , 897 Mly	0.78
168.800000	54.461667	LEDA 2470355 , 962 Mly	0.38
168.802083	55.456944	LEDA 2502776 , 2778 Mly	0.47
168.805417	53.671111	LEDA 2447588 , 1503 Mly	0.46
168.832500	54.387222	LEDA 34304 , 1018 Mly	0.57
168.836667	56.620000	LEDA 2542492 , 1093 Mly	0.69
168.836667	54.457222	LEDA 2470212 , 968 Mly	0.33
168.839583	55.666389	LEDA 2510186 , 1337 Mly	0.65
168.840417	55.973333	LEDA 34316 , 478 Mly	1.35
168.843333	54.879444	LEDA 2483306 , 1000 Mly	0.33
168.845000	54.515556	LEDA 2471919 , 1010 Mly	0.33
168.846667	56.443333	LEDA 2536930 , 896 Mly	0.34
168.846667	53.688611	LEDA 34321 , 1519 Mly	0.61
168.847083	54.345000	LEDA 2466861 , 1007 Mly	0.41
168.848750	54.443889	LEDA 34311 , 962 Mly	0.38
168.853333	53.697500	LEDA 2448298 , 1416 Mly	0.41
168.853333	54.846667	LEDA 2482280 , 1076 Mly	0.42
168.854583	54.365833	LEDA 2467471 , 1018 Mly	0.35
168.860833	54.140000	LEDA 2460940 , 1560 Mly	0.39
