Custom Catalog
User defined catalog
Name;RA(deg);Dec(deg);PixelX;PixelY;Magnitude
SDSS J140643.26+531619.5;211.680272;53.272107;5906.831809;4016.150800;
SDSS J140643.46+535947.8;211.681104;53.996615;4039.858453;3683.901542;
SDSS J140644.08+545215.6;211.683675;54.871022;1786.529495;3285.232476;
SDSS J140645.95+551624.2;211.691498;55.273411;747.695793;3111.433760;
SDSS J140647.49+525956.1;211.697909;52.998935;6605.991136;4169.286121;
SDSS J140648.05+551747.6;211.700209;55.296565;685.745690;3113.541763;
SDSS J140648.14+535449.0;211.700622;53.913628;4248.360483;3751.716923;
SDSS J140648.52+543959.9;211.702198;54.666658;2308.089966;3406.917985;
SDSS J140650.01+534023.2;211.708375;53.673120;4865.854584;3874.432014;
SDSS J140650.06+550807.5;211.708587;55.135430;1098.720251;3200.176888;
SDSS J140650.76+533508.5;211.711516;53.585698;5090.225963;3919.567690;
SDSS J140652.41+541116.6;211.718411;54.187949;3536.883694;3652.066822;
SDSS J140652.47+533809.6;211.718638;53.636025;4958.617334;3907.221961;
SDSS J140653.40+552330.0;211.722507;55.391683;434.794208;3102.308714;
SDSS J140655.06+544824.8;211.729429;54.806894;1939.576426;3382.686731;
SDSS J140656.07+542634.9;211.733635;54.443033;2875.719179;3557.112456;
SDSS J140701.65+541219.1;211.756895;54.205331;3481.702554;3702.020442;
SDSS J140702.58+552217.3;211.760751;55.371490;476.763859;3167.622085;
SDSS J140703.99+532902.5;211.766664;53.484041;5336.976920;4051.018340;
SDSS J140707.48+553105.7;211.781180;55.518256;93.237578;3129.409717;
SDSS J140710.52+531357.6;211.793850;53.232680;5977.032061;4209.456044;
SDSS J140713.60+530200.8;211.806681;53.033561;6486.495891;4321.846434;
SDSS J140714.65+544056.7;211.811050;54.682419;2238.339423;3561.736068;
SDSS J140715.49+535610.2;211.814550;53.936178;4159.220445;3914.073169;
SDSS J140716.82+531236.6;211.820101;53.210174;6027.714910;4260.409704;
SDSS J140717.39+534520.1;211.822491;53.755590;4622.140561;4010.173838;
SDSS J140719.31+543122.7;211.830490;54.522999;2643.654362;3664.928886;
SDSS J140719.53+533350.7;211.831416;53.564091;5112.901798;4112.972162;
SDSS J140722.90+552334.7;211.845427;55.392975;399.030547;3281.538441;
SDSS J140723.02+551208.9;211.845941;55.202478;889.580521;3371.145559;
SDSS J140725.96+525554.8;211.858182;52.931906;6733.995505;4449.099929;
SDSS J140726.36+543539.7;211.859834;54.594386;2451.885799;3675.459859;
SDSS J140729.22+534241.1;211.871791;53.711433;4722.268416;4105.873466;
SDSS J140731.08+534447.2;211.879502;53.746449;4629.964361;4101.252762;
SDSS J140731.50+535106.7;211.881256;53.851871;4358.005839;4054.624318;
SDSS J140732.25+550725.4;211.884399;55.123730;1082.127186;3464.503749;
SDSS J140733.12+531254.0;211.888036;53.215022;5996.260587;4362.933068;
SDSS J140733.94+531322.6;211.891418;53.222963;5974.859135;4364.431191;
SDSS J140734.60+540857.3;211.894208;54.149272;3588.657851;3935.087259;
SDSS J140738.63+535346.9;211.911000;53.896365;4235.230161;4078.947787;
SDSS J140739.84+551702.0;211.916000;55.283913;661.146927;3435.911102;
SDSS J140740.30+542924.7;211.917926;54.490195;2704.392153;3810.981378;
SDSS J140743.82+534335.7;211.932624;53.726596;4666.372115;4191.465074;
SDSS J140745.23+545610.5;211.938466;54.936251;1550.359808;3632.179869;
SDSS J140749.81+544511.8;211.957577;54.753301;2016.217174;3746.510866;
SDSS J140758.48+534826.1;211.993675;53.807274;4441.685148;4246.401581;
SDSS J140758.92+541239.7;211.995527;54.211031;3401.798003;4058.726213;
SDSS J140759.06+534759.7;211.996114;53.799937;4459.894145;4253.571048;
SDSS J140800.79+540008.9;212.003313;54.002488;3936.470008;4168.894591;
SDSS J140802.98+535154.2;212.012417;53.865072;4287.677207;4247.586884;
SDSS J140806.04+534046.5;212.025193;53.679611;4761.534880;4354.687165;
SDSS J140812.09+535303.2;212.050392;53.884249;4227.727048;4296.144934;
SDSS J140813.16+540045.3;212.054860;54.012587;3896.150946;4242.095495;
SDSS J140814.08+552052.2;212.058667;55.347855;458.172961;3614.771249;
SDSS J140819.74+541600.3;212.082285;54.266763;3234.351350;4162.851418;
SDSS J140822.98+545037.3;212.095778;54.843722;1745.764276;3908.815488;
SDSS J140824.76+543817.6;212.103180;54.638245;2272.549172;4017.537571;
SDSS J140829.02+540107.7;212.120919;54.018812;3861.693207;4339.034992;
SDSS J140831.43+542949.9;212.130996;54.497208;2627.813293;4126.204068;
SDSS J140833.02+543043.5;212.137623;54.512108;2587.635987;4129.000966;
SDSS J140839.39+551803.5;212.164147;55.300987;550.212001;3791.543671;
SDSS J140839.87+544216.3;212.166162;54.704540;2084.572869;4079.646890;
SDSS J140842.75+552612.7;212.178165;55.436866;196.663735;3747.046780;
SDSS J140843.79+540751.2;212.182481;54.130910;3555.998789;4378.458701;
SDSS J140843.91+541833.9;212.182998;54.309417;3096.561693;4293.798639;
SDSS J140844.18+552944.9;212.184118;55.495808;43.332263;3727.513311;
SDSS J140846.45+552335.8;212.193573;55.393288;304.632300;3790.423625;
SDSS J140847.18+540653.8;212.196603;54.114971;3593.046290;4407.386919;
SDSS J140854.27+542401.0;212.226158;54.400290;2850.702663;4314.947906;
SDSS J140854.59+543204.8;212.227493;54.534679;2504.590070;4252.405686;
SDSS J140901.32+552744.6;212.255532;55.462406;109.839592;3847.693180;
SDSS J140903.64+541746.9;212.265204;54.296364;3107.111644;4423.478716;
SDSS J140905.52+552538.4;212.273032;55.427335;195.301793;3890.128820;
SDSS J140909.29+542051.9;212.288743;54.347753;2968.302275;4434.023381;
SDSS J140923.47+543408.3;212.347832;54.568993;2382.638174;4415.388945;
SDSS J141019.96+552808.7;212.583201;55.469106;1.910856;4322.191417;

